ID,Catalog#,Artist,Artist2,Title,Label,Format,Rating,Released,release_id,CollectionFolder,Date Added,Collection Media Condition,Collection Sleeve Condition,Collection Notes,Collection Cost,Collection Autographed, Min , Median , Max ,Genre,Subgenre,Label1,Label2,Label3,Label4
306,"IOMLP 379, 0506501",Leprous,Leprous,Coal,"Inside Out Music, Inside Out Music","2xLP, Album",,2013,4563433.0,Vinyl,3/7/15 17:38,,,,20.0,Yes,54.93,59.44,87.91,Metal,Progressive Metal,Inside Out Music,Inside Out Music,,
268,VR297,Between The Buried And Me,Between The Buried And Me,The Anatomy Of,Victory Records,"2xLP, Album, Ltd,  Or",,2013,4493447.0,Vinyl,6/22/15 19:03,,,,21.0,,54.95,78.5,165.0,Metal,Progressive Metal,Victory Records,,,
321,RRCAR 7705-1,Opeth,Opeth,Heritage,Roadrunner Records,"2xLP, Album, Ltd, RP, Cle",4.0,2013,4555439.0,Vinyl,12/14/14 10:44,,,,40.0,Yes,54.95,75.92,100.0,Metal,Progressive Metal,Roadrunner Records,,,
396,"IOMLP 388, 0506591",Haken (2),Haken (2),The Mountain,"Inside Out Music, Inside Out Music","2xLP, Album + CD, Album",4.0,2013,4930240.0,Vinyl,12/27/13 20:10,,,,22.0,Yes,64.84,81.2,109.88,Metal,Progressive Metal,Inside Out Music,Inside Out Music,,
292,88843 03629 2,Chevelle (2),Chevelle (2),La Gárgola,Epic,"CD, Album, Copy Prot.",,2014,5563951.0,CD,5/27/15 12:59,,,,10.0,,1.0,3.0,8.78,Rock,Alternative Rock,Epic,,,
271,SUM539,Circa Survive,Circa Survive,Descensus,Sumerian Records,"CD, Album",,2014,6475750.0,CD,6/12/15 18:45,,,,7.0,,1.0,8.58,10.88,Rock,Hardcore,Sumerian Records,,,
234,DW157,Converge,Converge,Live At The BBC,Deathwish,"7"", EP, Gre",4.0,2014,5424301.0,Vinyl,12/9/15 9:19,,,,6.5,,2.95,3.62,6.66,Metal,Hardcore,Deathwish,,,
273,EOM-CD-9448,Black Crown Initiate,Black Crown Initiate,The Wreckage Of Stars,eOne Music,"CD, Album",,2014,6210509.0,CD,6/12/15 18:45,,,,10.0,,2.99,6.82,16.66,Metal,Death Metal,eOne Music,,,
355,543021-2,Mastodon,Mastodon,Once More 'Round The Sun,Reprise Records,"CD, Album",,2014,5885800.0,CD,9/5/14 10:14,,,,10.0,,3.0,6.0,12.98,Metal,Sludge Metal,Reprise Records,,,
291,PFL-146,Full Of Hell · Merzbow,Full Of Hell,Full Of Hell · Merzbow,Profound Lore Records,"CD, Album + CD",,2014,6310882.0,CD,5/27/15 13:00,,,,10.0,,3.37,9.21,19.2,Metal,Grindcore,Profound Lore Records,,,
269,3984-15273-2,Destrage,Destrage,Are You Kidding Me? No.,Metal Blade Records,"CD, Album",,2014,5451571.0,CD,6/12/15 18:46,,,,5.0,,4.0,6.32,8.89,Metal,Progressive Metal,Metal Blade Records,,,
304,GBR012,Bongripper,Bongripper,Hippie Killer,Great Barrier Records (2),"CD, Album",,2014,5691924.0,CD,3/7/15 18:10,,,,5.0,,4.99,10.49,13.12,Metal,Doom Metal,Great Barrier Records (2),,,
378,SOM 300D,Cynic (2),Cynic (2),Kindly Bent To Free Us,Season Of Mist,"CD, Album, Ltd, Dig",,2014,5413702.0,CD,3/25/14 19:38,,,,14.0,,5.33,7.38,17.17,Metal,Progressive Metal,Season Of Mist,,,
379,SUM388,The Kindred (3),The Kindred (3),Life In Lucidity,Sumerian Records,"CD, Album",,2014,5482501.0,CD,3/25/14 19:37,,,,10.0,,5.68,7.59,8.19,Metal,Progressive Metal,Sumerian Records,,,
302,GBR013,Bongripper,Bongripper,Miserable,Great Barrier Records (2),"CD, Album",,2014,5962612.0,CD,3/7/15 18:11,,,,5.0,,6.0,9.49,15.26,Metal,Doom Metal,Great Barrier Records (2),,,
88,SPIN065,Mournful Congregation,Mournful Congregation,Concrescence Of The Sophia,20 Buck Spin,"LP, MiniAlbum",,2014,5807031.0,Vinyl,6/3/18 15:21,,,,17.0,,6.0,9.0,15.99,Metal,Doom Metal,20 Buck Spin,,,
365,ULR12058-2,Fallujah,Fallujah,The Flesh Prevails,Unique Leader Records,"CD, Album",,2014,5929062.0,CD,9/5/14 10:11,,,Sell,10.0,,6.15,8.99,19.99,Metal,Technical Death Metal,Unique Leader Records,,,
283,"AA98, MOC075",Alaskan,Alaskan,"Despair, Erosion, Loss","Alerta Antifascista, Moment of Collapse Records","LP, Album",,2014,5426114.0,Vinyl,6/12/15 18:34,,,,12.0,,6.49,11.61,13.33,Metal,Sludge Metal,Alerta Antifascista,Moment of Collapse Records,,
335,SP1095,Goat (22),Goat (22),Commune,Sub Pop,"LP, Album",,2014,6097647.0,Vinyl,10/5/14 18:53,,,Sell,16.0,,6.99,10.0,20.0,Rock,Psychdelic,Sub Pop,,,
272,SOM 329,Archspire,Archspire,The Lucid Collective,Season Of Mist,"CD, Album",,2014,5739737.0,CD,6/12/15 18:45,,,,7.0,,7.22,11.94,14.99,Metal,Technical Death Metal,Season Of Mist,,,
316, DWI98,Converge,Converge,Axe To Fall,Deathwish,"LP, Album, RP, Bro",,2014,6087107.0,Vinyl,12/23/14 19:56,,,,8.0,,7.99,15.99,21.74,Metal,Hardcore,Deathwish,,,
356,543021-1,Mastodon,Mastodon,Once More 'Round The Sun,Reprise Records,"2xLP, Album",,2014,5834565.0,Vinyl,9/5/14 10:14,,,,20.0,,7.99,20.65,39.99,Metal,Sludge Metal,Reprise Records,,,
131,TL 81-1,Rosetta (2),Rosetta (2),Flies To Flame,Translation Loss Records,"12"", EP, Yel",,2014,6384004.0,Vinyl,4/27/17 19:01,,,,13.0,,7.99,12.0,19.99,Metal,Post Metal,Translation Loss Records,,,
250,PROS10181-1,So Hideous,So Hideous,Last Poem / First Light,Prosthetic Records,LP,5.0,2014,5647812.0,Vinyl,9/9/15 11:33,,,,20.0,,7.99,14.17,21.61,Metal,Black Metal,Prosthetic Records,,,
62,ROBO 111,Thou (2),Thou (2),The Sacrifice,Robotic Empire,"12"", EP, Cle",,2014,5624710.0,Vinyl,4/14/19 8:33,,,,10.0,,8.0,12.0,27.47,Metal,Sludge Metal,Robotic Empire,,,
